# wavelength (nm)	absorption coefficient (/cm)	n	k
250	1.8045e+06	1.664	3.5898e+00
255	1.8591e+06	1.710	3.7726e+00
260	1.9305e+06	1.756	3.9941e+00
265	2.0236e+06	1.912	4.2674e+00
270	2.1400e+06	2.068	4.5981e+00
275	2.2538e+06	2.515	4.9322e+00
280	2.3334e+06	2.962	5.1992e+00
285	2.3625e+06	3.662	5.3580e+00
290	2.3023e+06	4.363	5.3131e+00
295	2.0653e+06	4.671	4.8483e+00
300	1.7983e+06	4.979	4.2932e+00
305	1.6095e+06	5.051	3.9065e+00
310	1.4710e+06	5.123	3.6288e+00
315	1.3679e+06	5.118	3.4289e+00
320	1.2897e+06	5.113	3.2843e+00
325	1.2292e+06	5.155	3.1791e+00
330	1.1778e+06	5.196	3.0930e+00
335	1.1288e+06	5.249	3.0092e+00
340	1.0936e+06	5.302	2.9589e+00
345	1.0632e+06	5.399	2.9191e+00
350	1.0441e+06	5.496	2.9080e+00
355	1.0325e+06	5.763	2.9169e+00
360	1.0173e+06	6.031	2.9144e+00
365	9.2822e+05	6.464	2.6961e+00
370	7.2782e+05	6.897	2.1430e+00
375	4.9600e+05	6.758	1.4801e+00
380	3.2749e+05	6.619	9.9031e-01
385	2.2518e+05	6.328	6.8989e-01
390	1.6411e+05	6.038	5.0932e-01
395	1.2727e+05	5.824	4.0003e-01
400	1.0390e+05	5.611	3.3073e-01
405	8.5623e+04	5.469	2.7595e-01
410	7.4844e+04	5.328	2.4419e-01
415	6.2928e+04	5.223	2.0782e-01
420	5.3547e+04	5.117	1.7897e-01
425	4.7031e+04	5.032	1.5906e-01
430	4.0674e+04	4.947	1.3918e-01
435	3.6031e+04	4.879	1.2473e-01
440	3.2334e+04	4.810	1.1321e-01
445	2.9737e+04	4.750	1.0530e-01
450	2.6916e+04	4.690	9.6385e-02
455	2.3998e+04	4.638	8.6890e-02
460	2.1841e+04	4.586	7.9949e-02
465	1.9459e+04	4.541	7.2004e-02
470	1.8985e+04	4.496	7.1006e-02
475	1.7223e+04	4.457	6.5102e-02
480	1.5823e+04	4.418	6.0438e-02
485	1.4904e+04	4.383	5.7521e-02
490	1.3944e+04	4.349	5.4370e-02
495	1.3389e+04	4.321	5.2741e-02
500	1.2335e+04	4.293	4.9080e-02
505	1.1377e+04	4.266	4.5721e-02
510	1.0925e+04	4.240	4.4337e-02
515	9.7911e+03	4.216	4.0126e-02
520	9.6586e+03	4.192	3.9968e-02
525	8.7198e+03	4.171	3.6430e-02
530	8.3432e+03	4.150	3.5188e-02
535	7.9350e+03	4.131	3.3782e-02
540	7.0327e+03	4.111	3.0221e-02
545	6.9699e+03	4.094	3.0228e-02
550	6.4783e+03	4.076	2.8354e-02
555	6.1614e+03	4.060	2.7212e-02
560	6.0252e+03	4.044	2.6850e-02
565	5.9721e+03	4.029	2.6852e-02
570	5.2933e+03	4.014	2.4010e-02
575	5.1447e+03	4.001	2.3540e-02
580	4.7994e+03	3.987	2.2152e-02
585	4.6335e+03	3.975	2.1570e-02
590	4.3255e+03	3.962	2.0309e-02
595	4.3921e+03	3.951	2.0796e-02
600	3.9223e+03	3.939	1.8728e-02
605	3.9821e+03	3.928	1.9172e-02
610	3.5970e+03	3.917	1.7461e-02
615	3.4794e+03	3.907	1.7028e-02
620	3.4451e+03	3.897	1.6998e-02
625	3.2740e+03	3.888	1.6284e-02
630	3.2815e+03	3.878	1.6451e-02
635	3.0552e+03	3.869	1.5438e-02
640	2.9204e+03	3.860	1.4874e-02
645	2.8492e+03	3.852	1.4624e-02
650	2.8259e+03	3.843	1.4617e-02
655	2.7211e+03	3.835	1.4183e-02
660	2.6199e+03	3.827	1.3760e-02
665	2.5242e+03	3.820	1.3358e-02
670	2.4315e+03	3.812	1.2964e-02
675	2.3414e+03	3.805	1.2577e-02
680	2.2541e+03	3.797	1.2198e-02
685	2.1691e+03	3.790	1.1824e-02
690	2.0867e+03	3.783	1.1458e-02
695	2.0076e+03	3.777	1.1103e-02
700	1.9310e+03	3.771	1.0757e-02
705	1.8574e+03	3.765	1.0420e-02
710	1.7860e+03	3.758	1.0091e-02
715	1.7166e+03	3.753	9.7673e-03
720	1.6495e+03	3.747	9.4511e-03
725	1.5848e+03	3.742	9.1433e-03
730	1.5222e+03	3.736	8.8428e-03
735	1.4621e+03	3.731	8.5519e-03
740	1.4039e+03	3.726	8.2675e-03
745	1.3475e+03	3.721	7.9886e-03
750	1.2929e+03	3.716	7.7162e-03
755	1.2401e+03	3.712	7.4507e-03
760	1.1891e+03	3.707	7.1914e-03
765	1.1399e+03	3.703	6.9393e-03
770	1.0922e+03	3.698	6.6925e-03
775	1.0463e+03	3.694	6.4527e-03
780	1.0018e+03	3.690	6.2181e-03
785	9.5900e+02	3.686	5.9907e-03
790	9.1759e+02	3.682	5.7685e-03
795	8.7774e+02	3.678	5.5529e-03
800	8.3920e+02	3.674	5.3425e-03
805	8.0199e+02	3.671	5.1375e-03
810	7.6600e+02	3.667	4.9375e-03
815	7.3133e+02	3.664	4.7431e-03
820	6.9782e+02	3.660	4.5535e-03
825	6.6558e+02	3.657	4.3696e-03
830	6.3443e+02	3.654	4.1904e-03
835	6.0440e+02	3.650	4.0160e-03
840	5.7537e+02	3.647	3.8461e-03
845	5.4745e+02	3.644	3.6812e-03
850	5.2049e+02	3.641	3.5206e-03
855	4.9456e+02	3.638	3.3649e-03
860	4.6954e+02	3.635	3.2134e-03
865	4.4551e+02	3.632	3.0667e-03
870	4.2235e+02	3.630	2.9240e-03
875	4.0008e+02	3.627	2.7858e-03
880	3.7863e+02	3.624	2.6515e-03
885	3.5800e+02	3.621	2.5213e-03
890	3.3813e+02	3.619	2.3948e-03
895	3.1911e+02	3.616	2.2727e-03
900	3.0079e+02	3.614	2.1543e-03
905	2.8324e+02	3.611	2.0398e-03
910	2.6636e+02	3.609	1.9289e-03
915	2.5019e+02	3.606	1.8217e-03
920	2.3467e+02	3.604	1.7180e-03
925	2.1983e+02	3.602	1.6182e-03
930	2.0429e+02	3.600	1.5119e-03
935	1.9177e+02	3.597	1.4269e-03
940	1.7912e+02	3.595	1.3399e-03
945	1.6664e+02	3.593	1.2531e-03
950	1.5480e+02	3.591	1.1703e-03
955	1.4316e+02	3.589	1.0879e-03
960	1.3234e+02	3.587	1.0110e-03
965	1.2194e+02	3.585	9.3640e-04
970	1.1222e+02	3.583	8.6619e-04
975	1.0306e+02	3.581	7.9966e-04
980	9.4401e+01	3.579	7.3620e-04
985	8.6193e+01	3.577	6.7561e-04
990	7.8597e+01	3.575	6.1920e-04
995	7.1059e+01	3.573	5.6264e-04
1000	6.3725e+01	3.572	5.0711e-04
1005	5.7345e+01	3.570	4.5862e-04
1010	5.1059e+01	3.568	4.1038e-04
1015	4.5472e+01	3.566	3.6728e-04
1020	4.0214e+01	3.565	3.2641e-04
1025	3.5232e+01	3.563	2.8738e-04
1030	3.0530e+01	3.562	2.5024e-04
1035	2.6383e+01	3.560	2.1730e-04
1040	2.2642e+01	3.559	1.8738e-04
1045	1.9311e+01	3.557	1.6058e-04
1050	1.6349e+01	3.556	1.3661e-04
1055	1.3797e+01	3.554	1.1583e-04
1060	1.1518e+01	3.553	9.7153e-05
1065	9.6768e+00	3.551	8.2011e-05
1070	8.3600e+00	3.550	7.1183e-05
1075	7.2899e+00	3.548	6.2362e-05
1080	6.3705e+00	3.547	5.4750e-05
1085	5.5500e+00	3.546	4.7919e-05
1090	4.8169e+00	3.545	4.1782e-05
1095	4.1899e+00	3.543	3.6510e-05
1100	3.6328e+00	3.542	3.1800e-05
1105	3.1710e+00	3.541	2.7883e-05
1110	2.7341e+00	3.540	2.4151e-05
1115	2.3596e+00	3.538	2.0937e-05
1120	2.0215e+00	3.537	1.8017e-05
1125	1.7194e+00	3.536	1.5392e-05
1130	1.4569e+00	3.535	1.3100e-05
1135	1.2047e+00	3.533	1.0881e-05
1140	1.0096e+00	3.532	9.1593e-06
1145	8.2590e-01	3.531	7.5253e-06
1150	6.6349e-01	3.530	6.0718e-06
1155	5.1602e-01	3.529	4.7428e-06
